ID,Title,Difficulty,AcceptanceRate,Topics,PaidOnly,Status,Link
1,Two Sum,EASY,56.170137738019676,"Array, Hash Table",False,TO_DO,https://leetcode.com/problems/two-sum/
2,Add Two Numbers,MEDIUM,46.75727985520433,"Linked List, Math, Recursion",False,TO_DO,https://leetcode.com/problems/add-two-numbers/
3,Longest Substring Without Repeating Characters,MEDIUM,37.40184542640079,"Hash Table, String, Sliding Window",False,TO_DO,https://leetcode.com/problems/longest-substring-without-repeating-characters/
4,Median of Two Sorted Arrays,HARD,44.47761318572201,"Array, Binary Search, Divide and Conquer",False,TO_DO,https://leetcode.com/problems/median-of-two-sorted-arrays/
5,Longest Palindromic Substring,MEDIUM,36.26862249035667,"Two Pointers, String, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/longest-palindromic-substring/
6,Zigzag Conversion,MEDIUM,52.148929699041226,String,False,TO_DO,https://leetcode.com/problems/zigzag-conversion/
7,Reverse Integer,MEDIUM,30.645735630668735,Math,False,TO_DO,https://leetcode.com/problems/reverse-integer/
8,String to Integer (atoi),MEDIUM,19.637765026858993,String,False,TO_DO,https://leetcode.com/problems/string-to-integer-atoi/
9,Palindrome Number,EASY,59.53558976181176,Math,False,TO_DO,https://leetcode.com/problems/palindrome-number/
10,Regular Expression Matching,HARD,29.543328998737593,"String, Dynamic Programming, Recursion",False,TO_DO,https://leetcode.com/problems/regular-expression-matching/
11,Container With Most Water,MEDIUM,58.17616448652979,"Array, Two Pointers, Greedy",False,TO_DO,https://leetcode.com/problems/container-with-most-water/
12,Integer to Roman,MEDIUM,69.18743062645397,"Hash Table, Math, String",False,TO_DO,https://leetcode.com/problems/integer-to-roman/
13,Roman to Integer,EASY,65.31567603932416,"Hash Table, Math, String",False,TO_DO,https://leetcode.com/problems/roman-to-integer/
14,Longest Common Prefix,EASY,45.988761204649784,"Array, String, Trie",False,TO_DO,https://leetcode.com/problems/longest-common-prefix/
15,3Sum,MEDIUM,37.533119639980015,"Array, Two Pointers, Sorting",False,TO_DO,https://leetcode.com/problems/3sum/
16,3Sum Closest,MEDIUM,47.15687679664239,"Array, Two Pointers, Sorting",False,TO_DO,https://leetcode.com/problems/3sum-closest/
17,Letter Combinations of a Phone Number,MEDIUM,64.34724946746417,"Hash Table, String, Backtracking",False,TO_DO,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
18,4Sum,MEDIUM,38.72500275290891,"Array, Two Pointers, Sorting",False,TO_DO,https://leetcode.com/problems/4sum/
19,Remove Nth Node From End of List,MEDIUM,49.622544011102306,"Linked List, Two Pointers",False,TO_DO,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
20,Valid Parentheses,EASY,42.71485031397943,"String, Stack",False,TO_DO,https://leetcode.com/problems/valid-parentheses/
21,Merge Two Sorted Lists,EASY,67.18668064704299,"Linked List, Recursion",False,TO_DO,https://leetcode.com/problems/merge-two-sorted-lists/
22,Generate Parentheses,MEDIUM,77.53295147731014,"String, Dynamic Programming, Backtracking",False,TO_DO,https://leetcode.com/problems/generate-parentheses/
